DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
131307424,2013-03-04,2013-03-04,1755,13,Newton,1345,310,BURGLARY,,56.0,F,H,101.0,STREET,,,IC,Invest Cont,310.0,,,,41ST                         PL,COMPTON                      AV,"(34.0091, -118.2506)"
101908925,2010-03-16,2010-03-14,2030,19,Mission,1966,900,VIOLATION OF COURT ORDER,,25.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,14400    PLUMMER                      ST,,"(34.2427, -118.4467)"
171912553,2017-06-01,2017-05-30,1910,19,Mission,1993,354,THEFT OF IDENTITY,0923 1822,47.0,F,H,229.0,CHECK CASHING*,,,IC,Invest Cont,354.0,,,,8200    SEPULVEDA                    PL,,"(34.2201, -118.4662)"
150618598,2015-08-20,2015-08-06,1200,6,Hollywood,643,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1601 0344,29.0,F,A,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420.0,,,,7100    HAWTHORN                     AV,,"(34.0998, -118.3447)"
160819842,2016-12-11,2016-12-10,1930,8,West LA,885,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,39.0,M,H,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,440.0,,,,2600    MOTOR                        AV,,"(34.0405, -118.4139)"
171804440,2017-01-07,2017-01-06,2000,18,Southeast,1801,330,BURGLARY FROM VEHICLE,1300 0344 0377 1602,27.0,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,8600 S  FIGUEROA                     ST,,"(33.9555, -118.2871)"
150412592,2015-07-26,2015-07-26,1700,4,Hollenbeck,473,624,BATTERY - SIMPLE ASSAULT,0400 0416 1218 0419 2004,25.0,F,H,109.0,PARK/PLAYGROUND,301.0,BELT FLAILING INSTRUMENT/CHAIN,IC,Invest Cont,624.0,,,,4TH,SAINT LOUIS,"(34.0423, -118.2155)"
151720117,2015-12-05,2015-12-05,5,17,Devonshire,1793,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,24.0,M,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,19100    BRYANT                       ST,,"(34.2272, -118.5492)"
101210711,2010-03-29,2010-03-29,115,12,77th Street,1256,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0417 0429 1243 1251 1309 1414 1813 2000,21.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,300 W  75TH                         ST,,"(33.9718, -118.2783)"
100120325,2010-11-17,2010-08-04,1200,1,Central,195,649,DOCUMENT FORGERY / STOLEN FELONY,0344,36.0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,649.0,,,,1500 S  LOS ANGELES                  ST,,"(34.0337, -118.261)"
132113373,2013-07-30,2012-11-01,1700,21,Topanga,2158,354,THEFT OF IDENTITY,0929 1822,64.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,20400    OXNARD                       ST,,"(34.178, -118.577)"
170614418,2017-06-23,2017-06-23,30,6,Hollywood,646,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1606,40.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,HOLLYWOOD,CHEROKEE,"(34.1016, -118.3348)"
170120134,2017-07-19,2017-07-15,1435,1,Central,111,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,30.0,F,B,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,740.0,,,,600 N  FIGUEROA                     ST,,"(34.0627, -118.2463)"
150814761,2015-09-11,2015-08-01,1900,8,West LA,831,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,29.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,11900    KIOWA                        AV,,"(34.0485, -118.4657)"
161217082,2016-06-23,2016-06-23,2146,12,77th Street,1265,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,33.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745.0,,,,1100 W  83RD                         ST,,"(33.9637, -118.294)"
151815268,2015-08-08,2015-08-07,1900,18,Southeast,1842,330,BURGLARY FROM VEHICLE,1300 1607 0344,55.0,M,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,11200 S  MAIN                         ST,,"(33.933, -118.2739)"
110107227,2011-03-05,2011-03-05,1,1,Central,119,330,BURGLARY FROM VEHICLE,0344 1307 1302 1609,39.0,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)"
100309417,2010-03-22,2010-03-12,755,3,Southwest,362,946,OTHER MISCELLANEOUS CRIME,0377 0914,47.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,946.0,,,,4500    AUGUST                       ST,,"(34.016, -118.3473)"
110313251,2011-05-26,2011-05-26,710,3,Southwest,326,624,BATTERY - SIMPLE ASSAULT,0400 0444 2000,30.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,2600    BRIGHTON                     AV,,"(34.0327, -118.3015)"
151225255,2015-11-07,2015-11-06,2000,12,77th Street,1249,410,"BURGLARY FROM VEHICLE, ATTEMPTED",0329,46.0,M,H,101.0,STREET,,,IC,Invest Cont,410.0,,,,400 W  69TH                         ST,,"(33.9774, -118.2813)"
140715153,2014-10-18,2014-10-08,1,7,Wilshire,701,649,DOCUMENT FORGERY / STOLEN FELONY,0923,48.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649.0,,,,500 N  EDINBURGH                    AV,,"(34.0802, -118.3637)"
100304500,2010-01-10,2010-01-09,2130,3,Southwest,334,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0400 0416 0913,40.0,M,O,505.0,MOTEL,304.0,CLUB/BAT,AA,Adult Arrest,230.0,998.0,,,3200 W  JEFFERSON                    BL,,"(34.0256, -118.3305)"
100918405,2010-09-15,2010-09-13,1600,9,Van Nuys,932,310,BURGLARY,0344 1402 1609,39.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,998.0,,,6200    COLUMBUS                     AV,,"(34.1831, -118.464)"
171307727,2017-03-03,2017-03-03,1745,13,Newton,1333,813,CHILD ANNOYING (17YRS & UNDER),0528,13.0,F,H,102.0,SIDEWALK,,,IC,Invest Cont,813.0,,,,2700    STANFORD                     AV,,"(34.0199, -118.2601)"
131909591,2013-04-04,2013-04-03,2330,19,Mission,1941,860,BATTERY WITH SEXUAL CONTACT,0448 0531 0522 0605 1822,30.0,F,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,SEPULVEDA                    BL,RONALD REAGA                 FY,"(34.2685, -118.4694)"
141701178,2014-12-08,2014-12-08,530,17,Devonshire,1765,330,BURGLARY FROM VEHICLE,0344 1402,47.0,M,W,101.0,STREET,,,AA,Adult Arrest,330.0,998.0,,,VANALDEN,ROMAR,"(34.2555, -118.5492)"
171411511,2017-04-30,2017-04-28,1230,14,Pacific,1414,956,"LETTERS, LEWD",1501,22.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,600    BROADWAY                     AV,,"(33.9947, -118.4683)"
101116716,2010-07-28,2010-07-27,1500,11,Northeast,1132,510,VEHICLE - STOLEN,,,,,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510.0,,,,4100    LOS FELIZ                    BL,,"(34.1131, -118.2809)"
110521382,2011-12-12,2011-12-12,1100,5,Harbor,541,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,48.0,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,1000    CAPITOL                      DR,,"(33.7576, -118.3009)"
121721188,2012-12-03,2012-11-30,2200,17,Devonshire,1745,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0311 0329 1822,44.0,M,H,726.0,POLICE FACILITY,,,IC,Invest Cont,745.0,,,,17300    SAN JOSE                     ST,,"(34.2612, -118.511)"
160612234,2016-04-29,2016-04-01,1800,6,Hollywood,637,810,"SEX, UNLAWFUL",1251 0527,15.0,F,H,710.0,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,810.0,812.0,,,HOLLYWOOD,BRONSON,"(34.1032, -118.318)"
111620283,2011-12-15,2011-12-14,1800,16,Foothill,1621,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,32.0,F,H,602.0,BANK,,,IC,Invest Cont,745.0,,,,13600    VAN NUYS                     BL,,"(34.2612, -118.4288)"
131720346,2013-12-22,2013-12-21,2100,17,Devonshire,1767,510,VEHICLE - STOLEN,,12.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,9800    RESEDA                       BL,,"(34.2482, -118.5361)"
110517812,2011-09-27,2011-09-27,1930,5,Harbor,504,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1307,38.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,1600    205TH                        ST,,"(33.8448, -118.3066)"
100206452,2010-02-14,2010-02-14,400,2,Rampart,251,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0411 0906 1822,30.0,M,H,108.0,PARKING LOT,218.0,OTHER CUTTING INSTRUMENT,IC,Invest Cont,230.0,,,,7TH                          ST,RAMPART                      BL,"(34.0594, -118.2833)"
100804973,2010-01-23,2010-01-15,2200,8,West LA,815,888,TRESPASSING,1501,40.0,M,B,101.0,STREET,,,IC,Invest Cont,888.0,,,,SUNSET                       BL,THURSTON                     AV,"(34.0737, -118.4631)"
140314494,2014-06-25,2014-06-14,301,3,Southwest,353,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,43.0,F,B,501.0,SINGLE FAMILY DWELLING,,,JO,Juv Other,440.0,,,,3500    FARMDALE                     AV,,"(34.0239, -118.346)"
152106382,2015-02-21,2015-02-21,1700,21,Topanga,2115,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,24.0,M,X,403.0,DRUG STORE,,,IC,Invest Cont,442.0,,,,8200    TOPANGA CANYON               BL,,"(34.2176, -118.606)"
130404983,2013-01-26,2013-01-26,1400,4,Hollenbeck,421,624,BATTERY - SIMPLE ASSAULT,2000 2001 1821 1241 0447 0443 0319 0416 1309,38.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,2100    VALLEJO                      ST,,"(34.0707, -118.2175)"
161107252,2016-03-08,2016-03-08,2040,11,Northeast,1173,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,15.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,2100    ALLESANDRO                   ST,,"(34.0923, -118.2568)"
111905921,2011-01-31,2011-01-31,1920,19,Mission,1985,624,BATTERY - SIMPLE ASSAULT,0416,36.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8700    TOBIAS                       AV,,"(34.2279, -118.4516)"
130606181,2013-01-31,2012-12-09,1800,6,Hollywood,632,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,64.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,8400    KIRKWOOD                     DR,,"(34.104, -118.3735)"
130125970,2013-12-17,2013-12-17,1350,1,Central,161,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,29.0,M,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,700 S  FIGUEROA                     ST,,"(34.0494, -118.2599)"
161105211,2016-01-22,2016-01-22,1605,11,Northeast,1186,949,ILLEGAL DUMPING,1501,,M,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AO,Adult Other,949.0,,,,900    ACADEMY                      RD,,"(34.0828, -118.2365)"
171015226,2017-08-31,2017-08-21,900,10,West Valley,1041,510,VEHICLE - STOLEN,,16.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,19300    HATTERAS                     ST,,"(34.1758, -118.5535)"
100609889,2010-03-26,2010-03-25,200,6,Hollywood,643,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,HOLLYWOOD                    BL,VISTA                        ST,"(34.1017, -118.3519)"
160905580,2016-02-04,2016-02-02,920,9,Van Nuys,952,903,CONTEMPT OF COURT,2000,37.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,903.0,,,,14600    MAGNOLIA                     BL,,"(34.1684, -118.4586)"
131615547,2013-10-16,2013-10-14,2000,16,Foothill,1663,330,BURGLARY FROM VEHICLE,0344 1307,21.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,330.0,,,,12100    SHELDON                      ST,,"(34.2374, -118.3964)"
150222966,2015-12-24,2015-12-23,2000,2,Rampart,256,330,BURGLARY FROM VEHICLE,0344 1300,25.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,LITTLE                       ST,WILSHIRE                     BL,"(34.0562, -118.2719)"
130220159,2013-10-07,2013-10-04,1600,2,Rampart,249,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0329,53.0,M,H,721.0,HIGH SCHOOL,,,IC,Invest Cont,440.0,,,,300    LUCAS                        AV,,"(34.0583, -118.2616)"
171204085,2017-01-01,2017-01-01,2030,12,77th Street,1273,210,ROBBERY,0342 0906 1309 1822 0416 0446 0344 0352,22.0,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,88TH                         ST,WESTERN                      AV,"(33.9582, -118.309)"
121618959,2012-12-08,2012-12-05,1715,16,Foothill,1619,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,49.0,M,O,101.0,STREET,,,IC,Invest Cont,331.0,,,,10800    AMIDON                       PL,,"(34.2667, -118.2877)"
151615191,2015-10-23,2015-10-23,1100,16,Foothill,1615,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0419,16.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627.0,,,,11700    FOOTHILL                     BL,,"(34.2754, -118.3904)"
141011675,2014-07-02,2014-07-01,1,10,West Valley,1023,946,OTHER MISCELLANEOUS CRIME,1501,29.0,M,H,101.0,STREET,,,IC,Invest Cont,946.0,,,,VANOWEN                      ST,VANALDEN                     AV,"(34.1939, -118.5491)"
131919479,2013-09-16,2013-09-16,1015,19,Mission,1924,624,BATTERY - SIMPLE ASSAULT,0419,40.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,12100    EL DORADO                    AV,,"(34.2894, -118.4508)"
171916704,2017-08-19,2017-08-18,2355,19,Mission,1962,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307,27.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,9800    SEPULVEDA                    BL,,"(34.2482, -118.4675)"
110521934,2011-12-25,2011-12-24,1700,5,Harbor,506,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0421 0913 1402,19.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,230.0,998.0,,,1500 W  CARSON                       ST,,"(33.8315, -118.3038)"
151921988,2015-11-18,2015-11-18,1145,19,Mission,1959,310,BURGLARY,0344 1606,36.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,310.0,,,,10200    LEV                          AV,,"(34.2557, -118.439)"
150506100,2015-02-12,2015-02-12,730,5,Harbor,555,888,TRESPASSING,1501,,X,X,152.0,UNDERPASS/BRIDGE*,,,AA,Adult Arrest,888.0,,,,700 W  SUMMERLAND                   AV,,"(33.7477, -118.2929)"
151511379,2015-05-14,2015-05-14,150,15,N Hollywood,1513,626,INTIMATE PARTNER - SIMPLE ASSAULT,0401 2000,34.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,6600    WHITSETT                     AV,,"(34.1903, -118.4052)"
152013254,2015-07-15,2015-07-14,2345,20,Olympic,2029,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0432 0445,32.0,M,O,717.0,HEALTH SPA/GYM,207.0,OTHER KNIFE,AA,Adult Arrest,230.0,,,,2900 W  6TH                          ST,,"(34.0637, -118.2843)"
142114426,2014-08-21,2014-08-19,1630,21,Topanga,2156,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,22.0,F,W,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,6600    TOPANGA CANYON               BL,,"(34.1905, -118.6059)"
112107749,2011-03-16,2011-03-16,1800,21,Topanga,2104,237,CHILD NEGLECT (SEE 300 W.I.C.),1501,10.0,M,W,704.0,ELEMENTARY SCHOOL,,,IC,Invest Cont,237.0,,,,8900    TOPANGA CANYON               BL,,"(34.2315, -118.6029)"
100108293,2010-03-24,2010-03-24,2050,1,Central,162,624,BATTERY - SIMPLE ASSAULT,0416 1019,27.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,700 S  HILL                         ST,,"(34.0459, -118.2545)"
170118785,2017-07-03,2017-05-17,1800,1,Central,138,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,50.0,M,O,101.0,STREET,,,IC,Invest Cont,440.0,,,,LOS ANGELES                  ST,4TH                          ST,"(34.0478, -118.2462)"
140905575,2014-01-31,2014-01-30,1800,9,Van Nuys,991,510,VEHICLE - STOLEN,,13.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4000    DEERVALE                     DR,,"(34.1424, -118.4505)"
140618886,2014-09-12,2014-09-12,1,6,Hollywood,646,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0325 1402,13.0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,998.0,,,6400    SELMA                        AV,,"(34.0998, -118.3295)"
170907284,2017-03-06,2017-03-04,600,9,Van Nuys,915,330,BURGLARY FROM VEHICLE,1307 0344,60.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,6900    VAN NUYS                     BL,,"(34.1961, -118.4487)"
151507956,2015-03-10,2015-03-04,5,15,N Hollywood,1531,354,THEFT OF IDENTITY,1822 0930,39.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5800    WHITSETT                     AV,,"(34.174, -118.4095)"
100212318,2010-06-01,2010-06-01,100,2,Rampart,249,624,BATTERY - SIMPLE ASSAULT,0432,32.0,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,300 S  BOYLSTON                     ST,,"(34.0568, -118.2578)"
160316152,2016-07-01,2016-07-01,2115,3,Southwest,313,761,BRANDISH WEAPON,0334 0432,53.0,M,H,101.0,STREET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,761.0,,,,4000 W  ADAMS                        BL,,"(34.0326, -118.3284)"
170617586,2017-08-12,2017-08-12,1700,6,Hollywood,636,330,BURGLARY FROM VEHICLE,0344 1609 0329,32.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,6700    YUCCA                        ST,,"(34.1032, -118.3361)"
141718926,2014-12-10,2014-12-10,1115,17,Devonshire,1751,624,BATTERY - SIMPLE ASSAULT,0444 0448,29.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,21500    DEVONSHIRE                   ST,,"(34.2573, -118.5988)"
151306080,2015-02-09,2015-02-08,2200,13,Newton,1307,330,BURGLARY FROM VEHICLE,0344 1601 0329,44.0,M,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,7TH,ALAMEDA                      ST,"(34.035, -118.2386)"
141314891,2014-07-19,2014-07-19,1000,13,Newton,1322,210,ROBBERY,0342 0444 0432 0344 0377,33.0,F,H,404.0,DEPARTMENT STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,23RD                         ST,SAN PEDRO,"(34.0241, -118.2597)"
150809418,2015-05-12,2015-05-11,2210,8,West LA,842,901,VIOLATION OF RESTRAINING ORDER,,38.0,F,O,101.0,STREET,,,AO,Adult Other,901.0,,,,1400    FEDERAL                      AV,,"(34.0473, -118.4562)"
151430476,2015-12-14,2015-12-14,1100,14,Pacific,1412,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2004,,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,400    OCEAN FRONT                  WK,,"(33.9933, -118.4765)"
111007903,2011-03-07,2011-03-07,1655,10,West Valley,1049,624,BATTERY - SIMPLE ASSAULT,0400 1202,63.0,M,W,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,6200    WOODLEY                      AV,,"(34.1833, -118.4837)"
170204580,2017-01-10,2017-01-10,1935,2,Rampart,271,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1310 0302 1312 0432 0416 0319 0421 1240,23.0,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230.0,,,,ALVARADO                     ST,OLYMPIC                      BL,"(34.0517, -118.2798)"
121920583,2012-10-07,2012-10-07,1100,19,Mission,1983,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 1257,,F,H,101.0,STREET,307.0,VEHICLE,IC,Invest Cont,230.0,,,,CHASE                        ST,COLUMBUS                     AV,"(34.2247, -118.4655)"
110909424,2011-04-10,2011-04-09,1300,9,Van Nuys,911,510,VEHICLE - STOLEN,,10.0,,,102.0,SIDEWALK,,,IC,Invest Cont,510.0,,,,6500    PEACH                        AV,,"(34.1886, -118.4676)"
131207188,2013-02-20,2013-02-19,1930,12,77th Street,1269,210,ROBBERY,0346 0429 0448 1822 0344,38.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,79TH                         ST,MCKINLEY                     AV,"(33.9675, -118.2608)"
140810005,2014-06-12,2014-05-27,1200,8,West LA,895,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0417,21.0,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,BRIDLEVALE,CHEVIOT,"(34.0344, -118.4049)"
171506416,2017-02-10,2017-02-09,1600,15,N Hollywood,1533,330,BURGLARY FROM VEHICLE,0385 0344 1300,29.0,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,5700    LAUREL CANYON                BL,,"(34.174, -118.3965)"
140123543,2014-10-16,2014-10-16,1730,1,Central,182,624,BATTERY - SIMPLE ASSAULT,0429 1251,18.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,900 S  GRAND                        AV,,"(34.0444, -118.2593)"
131820474,2013-12-23,2013-12-20,500,18,Southeast,1831,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,36.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,12600 S  FIGUEROA                     ST,,"(33.9188, -118.283)"
161609203,2016-05-09,2016-05-05,2000,16,Foothill,1676,510,VEHICLE - STOLEN,,15.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,8700    GLENOAKS                     BL,,"(34.2274, -118.3641)"
101209508,2010-03-11,2010-03-11,1745,12,77th Street,1256,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,40.0,F,H,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440.0,,,,7200 S  FIGUEROA                     ST,,"(33.9747, -118.2827)"
101824417,2010-12-16,2010-12-16,300,18,Southeast,1849,624,BATTERY - SIMPLE ASSAULT,0444 2000,35.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,2000 E  115TH                        ST,,"(33.9305, -118.2363)"
100212185,2010-05-28,2010-05-28,2315,2,Rampart,245,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1241 1821 2000,46.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,7TH                          ST,ALVARADO                     ST,"(34.057, -118.2779)"
151018354,2015-12-06,2015-11-25,5,10,West Valley,1028,354,THEFT OF IDENTITY,0377 0926 1822,30.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,6700    BALBOA                       BL,,"(34.1927, -118.5011)"
131606077,2013-02-24,2013-02-22,1600,16,Foothill,1698,510,VEHICLE - STOLEN,,12.0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,10400    RAINIER                      ST,,"(34.2179, -118.3581)"
101105436,2010-01-25,2010-01-23,2300,11,Northeast,1144,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,53.0,M,W,104.0,DRIVEWAY,,,AO,Adult Other,331.0,,,,2200    MORENO                       DR,,"(34.099, -118.2673)"
131811623,2013-06-11,2011-01-01,800,18,Southeast,1824,354,THEFT OF IDENTITY,0377 1822,22.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,600 E  COLDEN                       AV,,"(33.9493, -118.2652)"
121225300,2012-11-06,2012-11-06,700,12,77th Street,1241,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,32.0,F,H,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440.0,,,,6400    BRYNHURST                    AV,,"(33.9817, -118.3338)"
